index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,10200123,7716320,5382109,12656662928,2.3956,2.54121,2.40487
BTree,1197343,1133482,1154210,2365596448,0.672902,0.818266,0.787205,LinearSearch,8
BTree,771202,707140,653821,2762897224,0.553281,0.583542,0.568662,InterpolationSearch,10
BTree,1245955,1201283,1150186,2513462456,0.797366,0.746004,0.806132,LinearSearch,6
DynamicPGM,4442518,4584157,4534455,1700494188,2.29215,2.39967,2.30378,BinarySearch,512
DynamicPGM,5181490,5307108,5293547,1705154448,2.28326,2.41273,2.42815,BinarySearch,64
DynamicPGM,5063913,4989659,4975382,1702518268,2.43216,2.30452,2.39624,BinarySearch,128
