index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,9519043,7672847,5351845,11818525760,24.1001,23.4191,23.4372
BTree,1085060,1080243,1029008,1956120768,1.15919,1.16781,1.20407,LinearSearch,8
BTree,386593,387137,388219,1881906544,0.831099,0.830061,0.831784,InterpolationSearch,10
BTree,341043,330236,329465,2263536584,0.906193,0.910061,0.913353,InterpolationSearch,12
DynamicPGM,3797330,3790484,3783913,1703429848,0.920132,0.915639,0.919182,LinearSearch,32
DynamicPGM,2960475,2958308,2958546,1700049908,0.810289,0.809503,0.810527,InterpolationSearch,128
DynamicPGM,2891841,2893235,2894771,1700010848,0.7936,0.792963,0.79334,InterpolationSearch,256
