index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,lookup_throughput_mops1,lookup_throughput_mops2,lookup_throughput_mops3,search_method,value
LIPP,14762649,9421385,7233865,20628848672,357.23,371.37,361.632
BTree,1393049,1388480,1396375,2125000432,1.55855,1.56638,1.55703,LinearSearch,6
BTree,966675,976934,971692,1856251088,1.68176,1.6721,1.68396,LinearSearch,8
BTree,724682,731743,726143,1600535632,1.18522,1.17624,1.18164,BinarySearch,18
DynamicPGM,5478312,5477124,5471638,1716194548,1.58745,1.58671,1.58873,BinarySearch,16
DynamicPGM,5213283,5210222,5211737,1707696288,1.53672,1.53593,1.53838,BinarySearch,32
DynamicPGM,5470869,5470537,5467713,1716194548,1.84394,1.84175,1.84217,LinearSearch,16
