index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,9491244,7517291,5286309,11753613200,3.28975,3.44322,3.47865
BTree,1064525,1060298,1062129,2365596448,0.868509,0.878769,0.876567,LinearSearch,8
BTree,595744,600649,597820,2762897224,0.673413,0.678584,0.678572,InterpolationSearch,10
BTree,533841,532218,532255,3159460608,0.725268,0.725357,0.725461,InterpolationSearch,12
DynamicPGM,3781502,3708421,3708212,1703241188,2.77178,2.8133,2.81846,LinearSearch,32
DynamicPGM,2911581,2915888,2913577,1700049408,2.60455,2.60661,2.60185,InterpolationSearch,128
DynamicPGM,2846965,2847767,2847588,1700011168,2.58525,2.58544,2.5869,InterpolationSearch,256
