index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,14228440,9246274,7125015,20408967088,1.92726,2.08715,2.07825
BTree,1064009,1061651,1060730,2365596448,0.876244,0.887566,0.889534,LinearSearch,8
BTree,1096812,1096275,1096570,2513462456,0.853966,0.873643,0.879202,LinearSearch,6
BTree,597484,598333,597000,2762897224,0.815704,0.810857,0.808519,LinearAVX,10
DynamicPGM,4730875,4856947,4868757,1700923408,2.34384,2.37575,2.38405,BinarySearch,256
DynamicPGM,4910983,4914711,4916819,1703724028,2.42164,2.43595,2.46092,BinarySearch,64
DynamicPGM,4790047,4782780,4784223,1701839508,2.45747,2.46101,2.46373,BinarySearch,128
