index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,14430718,9402593,7240513,20602887232,15.2716,15.167,15.3335
BTree,1081717,1081092,1027983,1956120768,1.40056,1.40833,1.45563,LinearSearch,8
BTree,822299,824898,825451,2197286800,1.29896,1.33836,1.32483,LinearSearch,6
BTree,389353,390014,391745,1881906544,1.21307,1.21489,1.2149,LinearAVX,10
DynamicPGM,4774828,4780314,4771784,1700920428,0.848339,0.843251,0.842538,BinarySearch,256
DynamicPGM,5011544,5011568,5136688,1703719788,0.854604,0.843222,0.868896,BinarySearch,64
DynamicPGM,4953843,4950616,4947242,1701834168,0.875491,0.877629,0.877961,BinarySearch,128
