index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,insert_throughput_mops1,lookup_throughput_mops1,insert_throughput_mops2,lookup_throughput_mops2,insert_throughput_mops3,lookup_throughput_mops3,search_method,value
LIPP,14339388,9331288,7172703,20507817984,1.75015,364.035,1.8586,358.003,1.93239,367.817
BTree,1073860,883411,883219,2197517688,0.816049,1.51363,0.924735,1.52736,0.921257,1.52778,LinearSearch,8
BTree,700465,698056,693406,2379181072,0.786631,1.3138,0.778253,1.3163,0.778022,1.31922,LinearSearch,6
BTree,385871,384526,382229,2441636976,0.751756,1.31007,0.760682,1.28954,0.761195,1.31551,LinearAVX,10
DynamicPGM,4592940,4594725,4607327,1700238628,4.95297,0.13766,5.18729,0.138931,5.08133,0.136376,LinearSearch,1024
DynamicPGM,4612528,4595903,4612651,1700238628,5.07274,0.42271,5.06944,0.402128,5.064,0.395213,BinarySearch,1024
DynamicPGM,4623706,4611025,4611274,1700238628,5.05508,0.224001,5.06504,0.223349,5.02075,0.220564,InterpolationSearch,1024
