index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,lookup_throughput_mops1,lookup_throughput_mops2,lookup_throughput_mops3,search_method,value
LIPP,9799380,7518928,5260092,12705922272,323.982,346.227,351.477
BTree,1497784,1537944,1495666,2125000432,1.15366,1.02028,1.16575,LinearSearch,6
BTree,1068448,1068103,1048410,1856251088,1.1676,1.26752,1.21828,LinearSearch,8
BTree,1486401,1330194,1488196,2125000432,0.883126,0.885876,0.912091,InterpolationSearch,6
DynamicPGM,5935384,5807665,5896671,1721297388,1.57239,1.6772,1.7196,LinearSearch,16
DynamicPGM,5166240,5074066,5101659,1702563708,1.29624,1.33833,1.35945,BinarySearch,128
DynamicPGM,5823138,5814337,5807045,1721297388,1.50291,1.50231,1.50312,BinarySearch,16
