index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,insert_throughput_mops1,lookup_throughput_mops1,insert_throughput_mops2,lookup_throughput_mops2,insert_throughput_mops3,lookup_throughput_mops3,search_method,value
LIPP,9859186,7529172,5269745,12679095104,2.16117,351.296,2.29612,340.642,2.27046,345.142
BTree,930538,883554,998259,2441636976,0.449922,0.686783,0.485393,0.720903,0.482076,0.759692,InterpolationSearch,10
BTree,823196,786822,793446,3079164936,0.500732,0.699165,0.54304,0.805502,0.538241,0.801141,InterpolationSearch,12
BTree,1135222,643756,547377,2197517688,0.847452,1.09871,0.772648,1.12329,0.847491,1.09905,LinearSearch,8
DynamicPGM,4499883,4551411,4549342,1700499248,5.55574,0.242791,5.85245,0.248523,5.72616,0.222857,LinearSearch,512
DynamicPGM,4508156,4590243,4484267,1700499248,5.82843,0.377982,5.83206,0.381799,5.82388,0.348558,BinarySearch,512
DynamicPGM,4831132,4849405,4940779,1701187028,5.86753,0.358675,5.86729,0.356145,5.86857,0.359288,ExponentialSearch,256
