index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
LIPP,10077338,7747719,5425728,12700946864,16.3555,17.7311,17.6165
BTree,1300010,1178815,1233508,1956120768,1.10337,1.05686,1.05475,LinearSearch,8
BTree,419896,446627,407394,1881906544,0.710519,0.654092,0.721131,InterpolationSearch,10
BTree,887906,855494,893376,2197286800,0.894785,1.00522,0.958728,LinearSearch,6
DynamicPGM,4548055,4543832,4538790,1700504528,0.649815,0.650182,0.645181,BinarySearch,512
DynamicPGM,5268461,5278410,5295664,1705226028,0.694853,0.719383,0.742691,BinarySearch,64
DynamicPGM,5367262,5327089,5286715,1702558388,0.713798,0.735037,0.717257,BinarySearch,128
