index_name,build_time_ns1,build_time_ns2,build_time_ns3,index_size_bytes,mixed_throughput_mops1,mixed_throughput_mops2,mixed_throughput_mops3,search_method,value
HYBRID,18411919,10897675,7494529,20602887448,2.98972,2.71442,2.84447,BinarySearch,128/1000
HYBRID,7462680,7477169,7514251,20602887448,2.49084,2.48476,2.58528,BinarySearch,128/10000
HYBRID,7463091,7496381,7429136,20602887448,2.24114,2.21859,2.22581,BinarySearch,128/100000
HYBRID,7470786,7527211,7488693,20602887448,2.88155,2.87659,2.86815,LinearSearch,128/1000
HYBRID,7446836,7521503,7412785,20602887448,2.58335,2.55437,2.57041,LinearSearch,128/10000
HYBRID,7407408,7446520,7504680,20602887448,2.20254,2.19824,2.18253,LinearSearch,128/100000
DynamicPGM,4584431,4556386,4556909,1700920428,0.99688,1.00582,1.00247,BinarySearch,256
DynamicPGM,4731068,4728218,4731924,1703719788,1.03268,1.03434,1.05217,BinarySearch,64
DynamicPGM,4652930,4643041,4643032,1701834168,1.03239,1.032,0.998674,BinarySearch,128
LIPP,18554459,10873308,7493998,20602887232,4.40482,3.94602,4.09087
