HYBRID,16841145,11750460,10932306,20379057592,1.2129,1.25427,1.41257,BinarySearch,128/10000
HYBRID,9665031,9247308,9637568,20329129423,1.53947,1.38671,1.31385,BinarySearch,128/100000
HYBRID,10319752,9265517,9777931,20356965272,1.89544,2.12702,2.0576,BinarySearch,128/1000000
HYBRID,9648298,9823145,9296732,20382610470,1.27122,1.25625,1.30262,LinearSearch,128/10000
HYBRID,9961614,9966517,9719868,20346950428,1.62216,1.46929,1.54554,LinearSearch,128/100000
HYBRID,9416575,10015005,9190547,20356965272,1.8014,2.29913,2.17508,LinearSearch,128/1000000
DynamicPGM,4835692,4863833,4990013,1700923408,2.17009,2.23931,2.22186,BinarySearch,256
DynamicPGM,5141200,5330401,5161288,1703724028,2.41138,2.28392,2.17913,BinarySearch,64
DynamicPGM,5011431,4989540,5061465,1701839508,2.22174,2.15322,2.20198,BinarySearch,128
LIPP,15882401,10356002,7703796,20408967088,1.70205,1.72232,1.96478
