HYBRID,12415194,9191025,8194513,11818551192,1.57767,1.84769,2.52049,BinarySearch,128/10000
HYBRID,6793067,7482904,7343087,11818776192,3.46381,2.82706,2.63547,BinarySearch,128/100000
HYBRID,7506470,7802012,7254574,11813564056,3.79871,3.2659,2.82705,BinarySearch,128/1000000
HYBRID,7055833,7455626,7355321,11818551192,2.94947,3.01463,1.85804,LinearSearch,128/10000
HYBRID,6743472,7581972,7349995,11818776192,3.22493,3.03198,2.82224,LinearSearch,128/100000
HYBRID,7405629,7544757,7676706,11813564056,2.98352,3.3179,2.72107,LinearSearch,128/1000000
DynamicPGM,3778592,3787610,3860565,1703429848,0.915147,0.870753,0.801785,LinearSearch,32
DynamicPGM,3000969,3013291,3248840,1700049908,0.712854,0.720402,0.736265,InterpolationSearch,128
DynamicPGM,3088289,3176171,3091360,1700010848,0.721676,0.729172,0.703992,InterpolationSearch,256
LIPP,11117347,8278652,6763613,11818525760,5.78418,5.80911,4.93874
