HYBRID,18356329,10830724,7499566,20602888698,3.67693,3.41832,3.51102,BinarySearch,128/1000
HYBRID,7449967,7518783,7561724,20602899948,3.49341,3.49327,3.41817,BinarySearch,128/10000
HYBRID,7588733,7518235,7457788,20603012448,3.3899,3.4305,3.44089,BinarySearch,128/100000
HYBRID,7453742,7506410,7548744,20602888698,3.50057,3.52948,3.52574,LinearSearch,128/1000
HYBRID,7509715,7522121,7497992,20602899948,3.50127,3.43067,3.49952,LinearSearch,128/10000
HYBRID,7450521,7542062,7440111,20603012448,3.44251,3.33662,3.446,LinearSearch,128/100000
DynamicPGM,4573304,4596099,4558064,1700920428,1.00285,1.01053,1.00729,BinarySearch,256
DynamicPGM,4755247,4766156,4756984,1703719788,1.04512,1.03476,1.0595,BinarySearch,64
DynamicPGM,4593781,4586186,4589506,1701834168,1.03515,1.03269,1.03536,BinarySearch,128
LIPP,18401628,10890212,7468812,20602887232,4.50369,4.22209,4.11647
