HYBRID,11894281,9205872,5730322,11818527226,4.85991,4.64448,4.65335,BinarySearch,128/1000
HYBRID,5703514,5688890,5632305,11818538476,4.58118,4.57373,4.56909,BinarySearch,128/10000
HYBRID,5925617,5658568,5628729,11818650976,4.49576,4.49238,4.33461,BinarySearch,128/100000
HYBRID,5619412,5631395,5683141,11818527226,4.62731,4.62923,4.47958,LinearSearch,128/1000
HYBRID,5617554,5611837,5672998,11818538476,4.59171,4.59599,4.51765,LinearSearch,128/10000
HYBRID,5650315,5631498,5612360,11818650976,4.47526,4.32008,4.47465,LinearSearch,128/100000
DynamicPGM,3664190,3686068,3647564,1703429848,0.96405,0.959557,0.961189,LinearSearch,32
DynamicPGM,2863066,2879087,2863164,1700049908,0.935937,0.946542,0.933952,InterpolationSearch,128
DynamicPGM,2831563,2830303,2829466,1700010848,0.918305,0.918273,0.918126,InterpolationSearch,256
LIPP,11901247,9131929,5632975,11818525760,5.73577,5.43325,5.28286
