HYBRID,18088436,10598710,7392889,20408968554,1.54567,1.49906,1.51532,BinarySearch,128/1000
HYBRID,7342739,7397366,7450515,20408979804,1.4807,1.47423,1.45994,BinarySearch,128/10000
HYBRID,7458533,7471183,7457773,20409092304,1.44185,1.429,1.42981,BinarySearch,128/100000
HYBRID,7439421,7446133,7335796,20408968554,1.50624,1.49142,1.48466,LinearSearch,128/1000
HYBRID,7393257,7382405,7447109,20408979804,1.48228,1.45097,1.47163,LinearSearch,128/10000
HYBRID,7440556,7452254,7430895,20409092304,1.41199,1.4338,1.42008,LinearSearch,128/100000
DynamicPGM,4508029,4483752,4508200,1700923408,2.80712,2.91633,2.84586,BinarySearch,256
DynamicPGM,4694927,4680804,4680263,1703724028,2.89893,2.92137,2.92235,BinarySearch,64
DynamicPGM,4534577,4531007,4531253,1701839508,2.84744,2.88573,2.88433,BinarySearch,128
LIPP,18076966,10579346,7381436,20408967088,1.85902,1.83433,1.82526
