HYBRID,11771720,8992079,5677423,11753614666,2.32686,2.26588,2.29443,BinarySearch,128/1000
HYBRID,5624792,5584922,8779687,11753625916,2.20016,2.21502,2.2058,BinarySearch,128/10000
HYBRID,5614248,5549055,8634880,11753738416,2.07536,2.12476,2.12727,BinarySearch,128/100000
HYBRID,5579627,5605204,5548394,11753614666,2.32042,2.321,2.31071,LinearSearch,128/1000
HYBRID,8699981,5547340,5598223,11753625916,2.14089,2.23174,2.19732,LinearSearch,128/10000
HYBRID,8546741,5564681,5609028,11753738416,2.12758,2.13665,2.18597,LinearSearch,128/100000
DynamicPGM,3618091,3582074,3576234,1703241188,3.08017,3.1623,3.16644,LinearSearch,32
DynamicPGM,2816924,2817682,2818174,1700049408,3.11192,3.12058,3.02417,InterpolationSearch,128
DynamicPGM,2789080,2789115,2791493,1700011168,3.11478,3.10951,3.11556,InterpolationSearch,256
LIPP,11777326,8955539,5551494,11753613200,3.02587,2.9808,2.97854
